课堂名称,1班周二34节,时间,原始心率
上课时间,2022.10.25 11:04:36 -  11:32:30,11:04:37,101
学生姓名,丁静远25,11:04:38,103
,,11:04:39,103
,,11:04:40,104
,,11:04:41,105
,,11:04:42,106
,,11:04:43,107
,,11:04:44,107
,,11:04:45,106
,,11:04:46,106
,,11:04:47,106
,,11:04:48,106
,,11:04:49,105
,,11:04:50,105
,,11:04:51,106
,,11:04:52,107
,,11:04:53,108
,,11:04:54,108
,,11:04:55,108
,,11:04:56,108
,,11:04:57,108
,,11:04:58,108
,,11:04:59,107
,,11:05:00,107
,,11:05:01,106
,,11:05:02,106
,,11:05:03,106
,,11:05:04,106
,,11:05:05,106
,,11:05:06,106
,,11:05:07,106
,,11:05:08,106
,,11:05:09,107
,,11:05:10,108
,,11:05:11,110
,,11:05:12,110
,,11:05:13,111
,,11:05:14,113
,,11:05:15,114
,,11:05:16,116
,,11:05:17,116
,,11:05:18,117
,,11:05:19,118
,,11:05:20,118
,,11:05:21,118
,,11:05:22,118
,,11:05:23,117
,,11:05:24,116
,,11:05:25,114
,,11:05:26,114
,,11:05:27,112
,,11:05:28,112
,,11:05:29,110
,,11:05:30,110
,,11:05:31,109
,,11:05:32,108
,,11:05:33,108
,,11:05:34,107
,,11:05:35,107
,,11:05:36,107
,,11:05:37,107
,,11:05:38,107
,,11:05:39,108
,,11:05:40,108
,,11:05:41,109
,,11:05:42,109
,,11:05:43,110
,,11:05:44,110
,,11:05:45,111
,,11:05:46,111
,,11:05:47,111
,,11:05:48,112
,,11:05:49,112
,,11:05:50,112
,,11:05:51,111
,,11:05:52,110
,,11:05:53,110
,,11:05:54,109
,,11:05:55,108
,,11:05:56,108
,,11:05:57,108
,,11:05:58,107
,,11:05:59,106
,,11:06:00,105
,,11:06:01,105
,,11:06:02,105
,,11:06:03,105
,,11:06:04,106
,,11:06:05,106
,,11:06:06,106
,,11:06:07,107
,,11:06:08,107
,,11:06:09,107
,,11:06:10,107
,,11:06:11,107
,,11:06:12,106
,,11:06:13,106
,,11:06:14,106
,,11:06:15,105
,,11:06:16,105
,,11:06:17,104
,,11:06:18,104
,,11:06:19,104
,,11:06:20,102
,,11:06:21,102
,,11:06:22,102
,,11:06:23,102
,,11:06:24,103
,,11:06:25,103
,,11:06:26,103
,,11:06:27,103
,,11:06:28,102
,,11:06:29,102
,,11:06:30,100
,,11:06:31,100
,,11:06:32,100
,,11:06:33,100
,,11:06:34,100
,,11:06:35,100
,,11:06:36,100
,,11:06:37,100
,,11:06:38,100
,,11:06:39,100
,,11:06:40,100
,,11:06:41,100
,,11:06:42,100
,,11:06:43,100
,,11:06:44,99
,,11:06:45,99
,,11:06:46,99
,,11:06:47,98
,,11:06:48,98
,,11:06:49,97
,,11:06:50,97
,,11:06:51,97
,,11:06:52,98
,,11:06:53,100
,,11:06:54,100
,,11:06:55,101
,,11:06:56,101
,,11:06:57,102
,,11:06:58,102
,,11:06:59,103
,,11:07:00,101
,,11:07:01,101
,,11:07:02,99
,,11:07:03,99
,,11:07:04,96
,,11:07:05,96
,,11:07:06,93
,,11:07:07,93
,,11:07:08,90
,,11:07:09,86
,,11:07:10,86
,,11:07:11,85
,,11:07:12,83
,,11:07:13,83
,,11:07:14,82
,,11:07:15,81
,,11:07:16,80
,,11:07:17,80
,,11:07:18,80
,,11:07:19,80
,,11:07:20,81
,,11:07:21,81
,,11:07:22,82
,,11:07:23,82
,,11:07:24,83
,,11:07:25,83
,,11:07:26,85
,,11:07:27,85
,,11:07:28,87
,,11:07:29,87
,,11:07:30,87
,,11:07:31,87
,,11:07:32,87
,,11:07:33,87
,,11:07:34,86
,,11:07:35,86
,,11:07:36,86
,,11:07:37,86
,,11:07:38,86
,,11:07:39,86
,,11:07:40,86
,,11:07:41,85
,,11:07:42,85
,,11:07:43,85
,,11:07:44,84
,,11:07:45,83
,,11:07:46,83
,,11:07:47,83
,,11:07:48,84
,,11:07:49,84
,,11:07:50,85
,,11:07:51,85
,,11:07:52,85
,,11:07:53,85
,,11:07:54,86
,,11:07:55,86
,,11:07:56,86
,,11:07:57,86
,,11:07:58,86
,,11:07:59,86
,,11:08:00,86
,,11:08:01,86
,,11:08:02,86
,,11:08:03,85
,,11:08:04,86
,,11:08:05,86
,,11:08:06,86
,,11:08:07,85
,,11:08:08,85
,,11:08:09,85
,,11:08:10,85
,,11:08:11,85
,,11:08:12,85
,,11:08:13,85
,,11:08:14,85
,,11:08:15,85
,,11:08:16,83
,,11:08:17,82
,,11:08:18,79
,,11:08:19,79
,,11:08:20,79
,,11:08:21,80
,,11:08:22,80
,,11:08:23,82
,,11:08:24,83
,,11:08:25,83
,,11:08:26,83
,,11:08:27,85
,,11:08:28,86
,,11:08:29,87
,,11:08:30,87
,,11:08:31,88
,,11:08:32,89
,,11:08:33,89
,,11:08:34,89
,,11:08:35,91
,,11:08:36,91
,,11:08:37,91
,,11:08:38,93
,,11:08:39,94
,,11:08:40,95
,,11:08:41,95
,,11:08:42,94
,,11:08:43,93
,,11:08:44,91
,,11:08:45,90
,,11:08:46,90
,,11:08:47,90
,,11:08:48,92
,,11:08:49,94
,,11:08:50,96
,,11:08:51,96
,,11:08:52,96
,,11:08:53,96
,,11:08:54,95
,,11:08:55,95
,,11:08:56,95
,,11:08:57,94
,,11:08:58,94
,,11:08:59,94
,,11:09:00,94
,,11:09:01,92
,,11:09:02,92
,,11:09:03,90
,,11:09:04,90
,,11:09:05,88
,,11:09:06,87
,,11:09:07,87
,,11:09:08,86
,,11:09:09,85
,,11:09:10,85
,,11:09:11,84
,,11:09:12,84
,,11:09:13,84
,,11:09:14,84
,,11:09:15,83
,,11:09:16,83
,,11:09:17,83
,,11:09:18,83
,,11:09:19,84
,,11:09:20,84
,,11:09:21,84
,,11:09:22,84
,,11:09:23,84
,,11:09:24,85
,,11:09:25,85
,,11:09:26,85
,,11:09:27,85
,,11:09:28,85
,,11:09:29,84
,,11:09:30,84
,,11:09:31,84
,,11:09:32,84
,,11:09:33,85
,,11:09:34,86
,,11:09:35,88
,,11:09:36,89
,,11:09:37,89
,,11:09:38,89
,,11:09:39,88
,,11:09:40,87
,,11:09:41,86
,,11:09:42,86
,,11:09:43,86
,,11:09:44,86
,,11:09:45,87
,,11:09:46,87
,,11:09:47,88
,,11:09:48,87
,,11:09:49,87
,,11:09:50,86
,,11:09:51,84
,,11:09:52,83
,,11:09:53,83
,,11:09:54,84
,,11:09:55,86
,,11:09:56,86
,,11:09:57,90
,,11:09:58,90
,,11:09:59,92
,,11:10:00,93
,,11:10:01,93
,,11:10:02,94
,,11:10:03,95
,,11:10:04,95
,,11:10:05,96
,,11:10:06,96
,,11:10:07,96
,,11:10:08,96
,,11:10:09,96
,,11:10:10,96
,,11:10:11,96
,,11:10:12,96
,,11:10:13,96
,,11:10:14,96
,,11:10:15,96
,,11:10:16,96
,,11:10:17,96
,,11:10:18,96
,,11:10:19,96
,,11:10:20,96
,,11:10:21,96
,,11:10:22,96
,,11:10:23,96
,,11:10:24,96
,,11:10:25,96
,,11:10:26,97
,,11:10:27,97
,,11:10:28,97
,,11:10:29,97
,,11:10:30,97
,,11:10:31,97
,,11:10:32,97
,,11:10:33,97
,,11:10:34,98
,,11:10:35,98
,,11:10:36,98
,,11:10:37,98
,,11:10:38,98
,,11:10:39,98
,,11:10:40,98
,,11:10:41,98
,,11:10:42,98
,,11:10:43,99
,,11:10:44,99
,,11:10:45,99
,,11:10:46,99
,,11:10:47,99
,,11:10:48,99
,,11:10:49,100
,,11:10:50,100
,,11:10:51,100
,,11:10:52,100
,,11:10:53,100
,,11:10:54,100
,,11:10:55,100
,,11:10:56,100
,,11:10:57,100
,,11:10:58,100
,,11:10:59,100
