课堂名称,1班周二34节,时间,原始心率
上课时间,2022.09.13 11:15:24 -  11:41:26,11:15:27,100
学生姓名,陈展27,11:15:28,100
,,11:15:29,100
,,11:15:30,100
,,11:15:31,100
,,11:15:32,100
,,11:15:33,100
,,11:15:34,100
,,11:15:35,100
,,11:15:36,100
,,11:15:37,100
,,11:15:38,100
,,11:15:39,100
,,11:15:40,100
,,11:15:41,100
,,11:15:42,100
,,11:15:43,100
,,11:15:44,100
,,11:15:45,100
,,11:15:46,100
,,11:15:47,100
,,11:15:48,100
,,11:15:49,100
,,11:15:49,100
,,11:15:50,100
,,11:15:51,97
,,11:15:52,95
,,11:15:53,96
,,11:15:54,96
,,11:15:55,95
,,11:15:56,93
,,11:15:57,92
,,11:15:58,92
,,11:15:59,94
,,11:16:00,94
,,11:16:01,95
,,11:16:02,95
,,11:16:03,96
,,11:16:04,96
,,11:16:05,97
,,11:16:06,96
,,11:16:07,96
,,11:16:08,96
,,11:16:09,96
,,11:16:10,96
,,11:16:11,96
,,11:16:12,96
,,11:16:13,95
,,11:16:14,96
,,11:16:15,96
,,11:16:16,97
,,11:16:17,97
,,11:16:18,96
,,11:16:19,96
,,11:16:20,95
,,11:16:21,95
,,11:16:22,95
,,11:16:23,94
,,11:16:24,94
,,11:16:25,94
,,11:16:26,94
,,11:16:27,94
,,11:16:28,93
,,11:16:29,93
,,11:16:30,93
,,11:16:31,94
,,11:16:32,94
,,11:16:33,95
,,11:16:34,97
,,11:16:35,98
,,11:16:36,98
,,11:16:37,101
,,11:16:38,107
,,11:16:39,107
,,11:16:40,111
,,11:16:41,117
,,11:16:42,119
,,11:16:43,119
,,11:16:44,121
,,11:16:45,122
,,11:16:46,123
,,11:16:47,123
,,11:16:48,123
,,11:16:49,122
,,11:16:50,121
,,11:16:51,121
,,11:16:52,121
,,11:16:53,119
,,11:16:54,119
,,11:16:55,118
,,11:16:56,118
,,11:16:57,117
,,11:16:58,117
,,11:16:59,117
,,11:17:00,117
,,11:17:01,117
,,11:17:02,117
,,11:17:03,116
,,11:17:04,114
,,11:17:05,113
,,11:17:06,112
,,11:17:07,112
,,11:17:08,111
,,11:17:09,110
,,11:17:10,110
,,11:17:11,111
,,11:17:12,111
,,11:17:13,112
,,11:17:14,114
,,11:17:15,115
,,11:17:16,116
,,11:17:17,116
,,11:17:18,117
,,11:17:19,117
,,11:17:20,118
,,11:17:21,117
,,11:17:22,117
,,11:17:23,117
,,11:17:24,117
,,11:17:25,117
,,11:17:26,117
,,11:17:27,117
,,11:17:28,117
,,11:17:29,117
,,11:17:30,117
,,11:17:31,117
,,11:17:32,117
,,11:17:33,117
,,11:17:34,117
,,11:17:35,117
,,11:17:36,117
,,11:17:37,118
,,11:17:38,118
,,11:17:39,118
,,11:17:40,119
,,11:17:41,119
,,11:17:42,119
,,11:17:43,119
,,11:17:44,119
,,11:17:45,119
,,11:17:46,120
,,11:17:47,120
,,11:17:48,120
,,11:17:49,121
,,11:17:50,122
,,11:17:51,122
,,11:17:52,122
,,11:17:53,122
,,11:17:54,122
,,11:17:55,122
,,11:17:56,122
,,11:17:57,122
,,11:17:58,121
,,11:17:59,121
,,11:18:00,121
,,11:18:01,121
,,11:18:02,121
,,11:18:03,121
,,11:18:04,122
,,11:18:05,122
,,11:18:06,122
,,11:18:07,123
,,11:18:08,124
,,11:18:09,124
,,11:18:10,124
,,11:18:11,127
,,11:18:12,127
,,11:18:13,128
,,11:18:14,128
,,11:18:15,128
,,11:18:16,128
,,11:18:17,128
,,11:18:18,128
,,11:18:19,128
,,11:18:20,128
,,11:18:21,128
,,11:18:22,130
,,11:18:23,131
,,11:18:24,132
,,11:18:25,132
,,11:18:26,133
,,11:18:27,134
,,11:18:28,136
,,11:18:29,135
,,11:18:30,135
,,11:18:31,135
,,11:18:32,134
,,11:18:33,133
,,11:18:34,133
,,11:18:35,131
,,11:18:36,131
,,11:18:37,130
,,11:18:38,130
,,11:18:39,129
,,11:18:40,128
,,11:18:41,128
,,11:18:42,128
,,11:18:43,129
,,11:18:44,129
,,11:18:45,131
,,11:18:46,131
,,11:18:47,130
,,11:18:48,129
,,11:18:49,129
,,11:18:50,129
,,11:18:51,129
,,11:18:52,129
,,11:18:53,130
,,11:18:54,130
,,11:18:55,130
,,11:18:56,130
,,11:18:57,130
,,11:18:58,130
,,11:18:59,129
,,11:19:00,129
,,11:19:01,129
,,11:19:02,129
,,11:19:03,128
,,11:19:04,128
,,11:19:05,127
,,11:19:06,127
,,11:19:07,127
,,11:19:08,127
,,11:19:09,127
,,11:19:10,127
,,11:19:11,127
,,11:19:12,127
,,11:19:13,128
,,11:19:14,128
,,11:19:15,128
,,11:19:16,130
,,11:19:17,131
,,11:19:18,131
,,11:19:19,130
,,11:19:20,129
,,11:19:21,129
,,11:19:22,126
,,11:19:23,126
,,11:19:24,123
,,11:19:25,123
,,11:19:26,119
,,11:19:27,117
,,11:19:28,117
,,11:19:29,117
,,11:19:30,116
,,11:19:31,116
,,11:19:32,116
,,11:19:33,116
,,11:19:34,116
,,11:19:35,116
,,11:19:36,117
,,11:19:37,117
,,11:19:38,117
,,11:19:39,117
,,11:19:40,118
,,11:19:41,118
,,11:19:42,118
,,11:19:43,118
,,11:19:44,118
,,11:19:45,119
,,11:19:46,120
,,11:19:47,120
,,11:19:48,123
,,11:19:49,124
,,11:19:50,125
,,11:19:51,126
,,11:19:52,127
,,11:19:53,127
,,11:19:54,128
,,11:19:55,128
,,11:19:56,128
,,11:19:57,128
,,11:19:58,128
,,11:19:59,128
,,11:20:00,128
,,11:20:01,128
,,11:20:02,128
,,11:20:03,128
,,11:20:04,128
,,11:20:05,127
,,11:20:06,127
,,11:20:07,127
,,11:20:08,127
,,11:20:09,127
,,11:20:10,127
,,11:20:11,127
,,11:20:12,127
,,11:20:13,127
,,11:20:14,126
,,11:20:15,126
,,11:20:16,126
,,11:20:17,125
,,11:20:18,125
,,11:20:19,125
,,11:20:20,125
,,11:20:21,125
,,11:20:22,125
,,11:20:23,126
,,11:20:24,126
,,11:20:25,126
,,11:20:26,126
,,11:20:27,126
,,11:20:28,126
,,11:20:29,126
,,11:20:30,126
,,11:20:31,126
,,11:20:32,126
,,11:20:33,126
,,11:20:34,126
,,11:20:35,126
,,11:20:36,126
,,11:20:37,126
,,11:20:38,126
,,11:20:39,126
,,11:20:40,126
,,11:20:41,126
,,11:20:42,126
,,11:20:43,127
,,11:20:44,128
,,11:20:45,128
,,11:20:46,128
,,11:20:47,129
,,11:20:48,130
,,11:20:49,130
,,11:20:50,130
,,11:20:51,130
,,11:20:52,130
,,11:20:53,130
,,11:20:54,129
,,11:20:55,129
,,11:20:56,129
,,11:20:57,126
,,11:20:58,123
,,11:20:59,123
,,11:21:00,120
,,11:21:01,120
,,11:21:02,119
,,11:21:03,119
,,11:21:04,119
,,11:21:05,120
,,11:21:06,120
,,11:21:07,120
,,11:21:08,121
,,11:21:09,121
,,11:21:10,121
,,11:21:11,121
,,11:21:12,121
,,11:21:13,121
,,11:21:14,120
,,11:21:15,120
,,11:21:16,119
,,11:21:17,118
,,11:21:18,118
,,11:21:19,118
,,11:21:20,117
,,11:21:21,118
,,11:21:22,118
,,11:21:23,118
,,11:21:24,119
,,11:21:25,119
,,11:21:26,120
,,11:21:27,122
,,11:21:28,127
,,11:21:29,130
,,11:21:30,130
,,11:21:31,133
,,11:21:32,135
,,11:21:33,137
,,11:21:34,137
,,11:21:35,138
,,11:21:36,138
,,11:21:37,138
,,11:21:38,138
,,11:21:39,137
