课堂名称,1班周二34节,时间,原始心率
上课时间,2022.10.04 11:22:15 -  11:36:16,11:22:16,102
学生姓名,易子阳19,11:22:17,102
,,11:22:18,101
,,11:22:19,101
,,11:22:20,100
,,11:22:21,100
,,11:22:22,99
,,11:22:23,99
,,11:22:24,99
,,11:22:25,99
,,11:22:26,99
,,11:22:27,99
,,11:22:28,99
,,11:22:29,99
,,11:22:30,100
,,11:22:31,100
,,11:22:32,100
,,11:22:33,100
,,11:22:34,101
,,11:22:35,101
,,11:22:36,101
,,11:22:37,101
,,11:22:38,101
,,11:22:39,101
,,11:22:40,101
,,11:22:41,101
,,11:22:42,100
,,11:22:43,100
,,11:22:44,100
,,11:22:45,100
,,11:22:46,100
,,11:22:47,100
,,11:22:48,100
,,11:22:49,100
,,11:22:50,101
,,11:22:51,101
,,11:22:52,102
,,11:22:53,103
,,11:22:54,103
,,11:22:55,103
,,11:22:56,102
,,11:22:57,101
,,11:22:58,101
,,11:22:59,100
,,11:23:00,99
,,11:23:01,99
,,11:23:02,98
,,11:23:03,98
,,11:23:04,99
,,11:23:05,99
,,11:23:06,99
,,11:23:07,99
,,11:23:08,99
,,11:23:09,99
,,11:23:10,100
,,11:23:11,101
,,11:23:12,101
,,11:23:13,101
,,11:23:14,102
,,11:23:15,102
,,11:23:16,102
,,11:23:17,102
,,11:23:18,102
,,11:23:19,101
,,11:23:20,101
,,11:23:21,101
,,11:23:22,102
,,11:23:23,102
,,11:23:24,103
,,11:23:25,104
,,11:23:26,105
,,11:23:27,106
,,11:23:28,106
,,11:23:29,106
,,11:23:30,109
,,11:23:31,109
,,11:23:32,109
,,11:23:33,109
,,11:23:34,110
,,11:23:35,109
,,11:23:36,109
,,11:23:37,108
,,11:23:38,108
,,11:23:39,107
,,11:23:40,107
,,11:23:41,106
,,11:23:42,106
,,11:23:43,106
,,11:23:44,106
,,11:23:45,106
,,11:23:46,106
,,11:23:47,106
,,11:23:48,106
,,11:23:49,107
,,11:23:50,108
,,11:23:51,108
,,11:23:52,109
,,11:23:53,109
,,11:23:54,109
,,11:23:55,109
,,11:23:56,109
,,11:23:57,109
,,11:23:58,109
,,11:23:59,109
,,11:24:00,109
,,11:24:01,110
,,11:24:02,110
,,11:24:03,111
,,11:24:04,111
,,11:24:05,111
,,11:24:06,111
,,11:24:07,111
,,11:24:08,111
,,11:24:09,110
,,11:24:10,110
,,11:24:11,109
,,11:24:12,109
,,11:24:13,109
,,11:24:14,109
,,11:24:15,108
,,11:24:16,108
,,11:24:17,107
,,11:24:18,107
,,11:24:19,107
,,11:24:20,107
,,11:24:21,107
,,11:24:22,108
,,11:24:23,108
,,11:24:24,109
,,11:24:25,110
,,11:24:26,110
,,11:24:27,111
,,11:24:28,111
,,11:24:29,112
,,11:24:30,112
,,11:24:31,112
,,11:24:32,112
,,11:24:33,111
,,11:24:34,109
,,11:24:35,108
,,11:24:36,107
,,11:24:37,106
,,11:24:38,105
,,11:24:39,104
,,11:24:40,104
,,11:24:41,103
,,11:24:42,102
,,11:24:43,102
,,11:24:44,102
,,11:24:45,102
,,11:24:46,103
,,11:24:47,102
,,11:24:48,102
,,11:24:49,102
,,11:24:50,102
,,11:24:51,102
,,11:24:52,102
,,11:24:53,102
,,11:24:54,103
,,11:24:55,103
,,11:24:56,103
,,11:24:57,103
,,11:24:58,104
,,11:24:59,105
,,11:25:00,105
,,11:25:01,106
,,11:25:02,106
,,11:25:03,106
,,11:25:04,107
,,11:25:05,108
,,11:25:06,108
,,11:25:07,108
,,11:25:08,108
,,11:25:09,106
,,11:25:10,105
,,11:25:11,104
,,11:25:12,104
,,11:25:13,103
,,11:25:14,103
,,11:25:15,103
,,11:25:16,104
,,11:25:17,105
,,11:25:18,105
,,11:25:19,107
,,11:25:20,108
,,11:25:21,109
,,11:25:22,110
,,11:25:23,111
