课堂名称,1班周二34节,时间,原始心率
上课时间,2022.11.01 10:38:31 -  11:11:12,10:38:32,99
学生姓名,陈展27,10:38:33,102
,,10:38:34,102
,,10:38:35,110
,,10:38:36,110
,,10:38:37,113
,,10:38:38,118
,,10:38:39,124
,,10:38:40,126
,,10:38:41,128
,,10:38:42,129
,,10:38:43,129
,,10:38:44,131
,,10:38:45,131
,,10:38:46,131
,,10:38:47,132
,,10:38:48,134
,,10:38:49,134
,,10:38:50,135
,,10:38:51,135
,,10:38:52,136
,,10:38:53,136
,,10:38:54,137
,,10:38:55,137
,,10:38:56,139
,,10:38:57,140
,,10:38:58,140
,,10:38:59,141
,,10:39:00,143
,,10:39:01,144
,,10:39:02,144
,,10:39:03,144
,,10:39:04,144
,,10:39:05,145
,,10:39:06,145
,,10:39:07,145
,,10:39:08,144
,,10:39:09,144
,,10:39:10,143
,,10:39:11,143
,,10:39:12,142
,,10:39:13,139
,,10:39:14,138
,,10:39:15,138
,,10:39:16,138
,,10:39:17,137
,,10:39:18,137
,,10:39:19,137
,,10:39:20,137
,,10:39:21,136
,,10:39:22,136
,,10:39:23,136
,,10:39:24,135
,,10:39:25,135
,,10:39:26,135
,,10:39:27,134
,,10:39:28,133
,,10:39:29,133
,,10:39:30,133
,,10:39:31,133
,,10:39:32,133
,,10:39:33,133
,,10:39:34,133
,,10:39:35,132
,,10:39:36,132
,,10:39:37,131
,,10:39:38,130
,,10:39:39,130
,,10:39:40,131
,,10:39:41,131
,,10:39:42,133
,,10:39:43,133
,,10:39:44,135
,,10:39:45,136
,,10:39:46,137
,,10:39:47,137
,,10:39:48,139
,,10:39:49,140
,,10:39:50,143
,,10:39:51,143
,,10:39:52,144
,,10:39:53,144
,,10:39:54,144
,,10:39:55,143
,,10:39:56,142
,,10:39:57,142
,,10:39:58,141
,,10:39:59,141
,,10:40:00,141
,,10:40:01,142
,,10:40:02,143
,,10:40:03,143
,,10:40:04,143
,,10:40:05,144
,,10:40:06,144
,,10:40:07,144
,,10:40:08,142
,,10:40:09,141
,,10:40:10,141
,,10:40:11,141
,,10:40:12,140
,,10:40:13,139
,,10:40:14,139
,,10:40:15,139
,,10:40:16,140
