课堂名称,1班周二34节,时间,原始心率
上课时间,2022.09.27 11:13:06 -  11:27:07,11:13:10,80
学生姓名,简莉芸17,11:13:11,80
,,11:13:12,80
,,11:13:13,80
,,11:13:14,80
,,11:13:15,80
,,11:13:16,80
,,11:13:17,80
,,11:13:18,80
,,11:13:19,80
,,11:13:20,80
,,11:13:21,80
,,11:13:22,80
,,11:13:23,80
,,11:13:24,80
,,11:13:25,80
,,11:13:26,80
,,11:13:27,80
,,11:13:28,80
,,11:13:29,80
,,11:13:29,80
,,11:13:30,80
,,11:13:31,80
,,11:13:32,80
,,11:13:33,79
,,11:13:34,79
,,11:13:35,79
,,11:13:36,79
,,11:13:37,79
,,11:13:38,79
,,11:13:39,80
,,11:13:40,80
,,11:13:41,80
,,11:13:42,81
,,11:13:43,81
,,11:13:44,81
,,11:13:45,80
,,11:13:46,80
,,11:13:47,80
,,11:13:48,80
,,11:13:49,80
,,11:13:50,80
,,11:13:51,80
,,11:13:52,80
,,11:13:53,80
,,11:13:54,80
,,11:13:55,80
,,11:13:56,80
,,11:13:57,80
,,11:13:58,80
,,11:13:59,80
,,11:14:00,81
,,11:14:01,81
,,11:14:02,81
,,11:14:03,82
,,11:14:04,82
,,11:14:05,83
,,11:14:06,83
,,11:14:07,83
,,11:14:08,84
,,11:14:09,84
,,11:14:10,84
,,11:14:11,84
,,11:14:12,85
,,11:14:13,86
,,11:14:14,86
,,11:14:15,87
,,11:14:16,89
,,11:14:17,90
,,11:14:18,91
,,11:14:19,92
,,11:14:20,95
,,11:14:21,95
,,11:14:22,95
,,11:14:23,102
,,11:14:24,104
,,11:14:25,104
,,11:14:26,107
,,11:14:27,107
,,11:14:28,108
,,11:14:29,109
,,11:14:30,109
,,11:14:31,110
,,11:14:32,110
,,11:14:33,110
,,11:14:34,110
,,11:14:35,111
,,11:14:36,111
,,11:14:37,112
,,11:14:38,112
,,11:14:39,113
,,11:14:40,113
,,11:14:41,117
,,11:14:42,119
,,11:14:43,119
,,11:14:44,123
,,11:14:45,125
,,11:14:46,125
,,11:14:47,127
,,11:14:48,127
,,11:14:49,128
,,11:14:50,128
,,11:14:51,130
,,11:14:52,131
,,11:14:53,133
,,11:14:54,138
,,11:14:55,138
,,11:14:56,142
,,11:14:57,149
,,11:14:58,151
,,11:14:59,153
,,11:15:00,153
,,11:15:01,155
,,11:15:02,157
,,11:15:03,158
,,11:15:04,158
,,11:15:05,159
,,11:15:06,161
,,11:15:07,162
,,11:15:08,163
,,11:15:09,164
,,11:15:10,164
,,11:15:11,165
,,11:15:12,166
,,11:15:13,166
,,11:15:14,168
,,11:15:15,169
,,11:15:16,170
,,11:15:17,171
,,11:15:18,172
,,11:15:19,173
,,11:15:20,173
,,11:15:21,174
